"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
"261",5806,38.6,1,"B","A"
"262",5806,37.8,8,"B","A"
"263",5806,71.4,1,"B","D"
"264",5806,26.9,1,"A","A"
"265",5806,68.8,3,"B","A"
"266",5806,48.3,1,"E","A"
"267",5806,56.6,7,"A","A"
"268",5806,25.3,3,"A","A"
"269",5806,53.2,5,"E","A"
"270",5806,56.1,1,"B","D"
"271",5806,42,8,"A","A"
"272",5806,52.4,3,"A","D"
"273",5806,68.1,1,"A","A"
"274",5806,44.3,3,"B","A"
"275",5806,69.9,3,"E","A"
"276",5806,34.1,2,"D","A"
"277",5806,36.5,1,"C","A"
"278",5806,38.5,1,"D","A"
"279",5806,44.9,5,"C","D"
"280",5806,42.9,3,"A","A"
"281",5806,42,4,"C","A"
"282",5806,44.1,1,"C","A"
"283",5806,30.6,4,"D","A"
"284",5806,65.7,3,"A","A"
"285",5806,59.7,1,"C","A"
"286",5806,52.5,2,"C","A"
"287",5806,39.8,5,"B","A"
"288",5806,34.3,2,"E","C"
"289",5806,41.9,4,"B","A"
"290",5806,51.1,3,"A","A"
"291",5806,53.1,7,"A","A"
"292",5806,24.9,8,"B","A"
"293",5806,47.7,4,"C","A"
"294",5806,43.9,6,"B","A"
"295",5806,43.9,1,"B","C"
"296",5806,45.8,2,"D","A"
"297",5806,23.3,2,"B","A"
"298",5806,26.9,6,"A","B"
"299",5806,42.7,8,"B","A"
"300",5806,57.7,1,"B","A"
"301",5806,30.4,1,"B","A"
"302",5806,51,2,"E","A"
"303",5806,53.5,4,"A","A"
"304",5806,44.2,1,"B","A"
"305",5806,24.6,8,"B","A"
"306",5806,42.1,8,"A","A"
"307",5806,27.6,2,"C","A"
"308",5806,70,1,"B","A"
"309",5806,40.8,3,"B","D"
"310",5806,53.3,4,"C","A"
"311",5806,30.4,1,"B","A"
"312",5806,25.2,4,"B","A"
"313",5806,63.6,2,"B","A"
"314",5806,50.8,1,"B","C"
"315",5806,28,6,"E","B"
"316",5806,61.3,5,"E","D"
"317",5806,48.2,5,"B","A"
"318",5806,69.4,3,"C","A"
"319",5806,57.1,7,"C","A"
"320",5806,42.5,7,"C","A"
"321",5806,37.3,NA,NA,NA
"322",5806,64.2,3,"B","A"
"323",5806,38.8,1,"C","A"
"324",5806,63.9,4,"C","A"
"325",5806,50,1,"A","A"
"326",5806,25.1,8,"A","A"
"327",5806,57.3,3,"C","A"
"328",5806,37.5,3,"A","C"
"329",5806,61.5,5,"A","C"
"330",5806,42.2,1,"B","A"
"331",5806,57.4,7,"A","A"
"332",5806,45.9,1,"A","A"
"333",5806,60.9,7,"B","A"
"334",5806,49.1,3,"A","A"
"335",5806,49.9,3,"D","A"
"336",5806,28.4,8,"C","A"
"337",5806,17.6,1,"A","A"
"338",5806,39.2,4,"A","A"
"339",5806,55.6,1,"A","B"
"340",5806,33.3,3,"C","A"
"341",5806,48.8,4,"B","A"
"342",5806,38.8,1,"B","A"
"343",5806,27.7,2,"B","A"
"344",5806,48.4,2,"E","A"
"345",5806,61.5,1,"C","A"
"346",5806,36.5,2,"A","A"
"347",5806,21.9,5,"B","A"
"348",5806,33.4,7,"D","A"
"349",5806,37.5,3,"E","A"
"350",5806,50.3,4,"A","A"
"351",5806,32.8,7,"B","A"
"352",5806,39,1,"A","A"
"353",5806,47.9,2,"B","D"
"354",5806,30.3,7,"A","A"
"355",5806,57.2,1,"C","A"
"356",5806,54.9,3,"A","A"
"357",5806,69,1,"A","A"
"358",5806,36.6,8,"B","A"
"359",5806,30,5,"D","A"
"360",5806,56.5,7,"A","A"
"361",5806,42.3,NA,NA,NA
"362",5806,48,2,"C","A"
"363",5806,44.2,3,"B","A"
"364",5806,58.2,2,"C","A"
"365",5806,26.2,3,"B","B"
"366",5806,56.4,2,"A","A"
"367",5806,39.9,4,"C","C"
"368",5806,45.6,3,"D","A"
"369",5806,51.2,1,"B","A"
"370",5806,46,3,"B","A"
"371",5806,57.2,7,"B","A"
"372",5806,47.4,2,"B","B"
"373",5806,37.4,3,"C","A"
"374",5806,52.4,3,"A","A"
"375",5806,52.6,1,"B","A"
"376",5806,60.7,8,"A","A"
"377",5806,41.6,7,"C","A"
"378",5806,35.9,1,"B","A"
"379",5806,54.1,3,"C","A"
"380",5806,61.4,5,"D","A"
"381",5806,48,2,"A","A"
"382",5806,53.3,5,"C","A"
"383",5806,58.5,3,"E","A"
"384",5806,71.4,4,"A","A"
"385",5806,48.9,1,"E","C"
"386",5806,41.8,6,"C","A"
"387",5806,39.8,1,"A","A"
"388",5806,45.9,3,"E","A"
"389",5710,66.1,4,"B","A"
"390",5710,65.9,3,"A","A"
"391",5710,59.3,3,"C","A"
"392",5710,77.5,4,"B","C"
"393",5710,40.2,1,"A","A"
"394",5710,67.9,1,"B","D"
"395",5710,74.9,6,"A","A"
"396",5710,58.1,5,"C","C"
"397",5710,45,3,"B","A"
"398",5710,58.9,2,"B","A"
"399",5710,65.5,5,"B","A"
"400",5710,24.2,3,"B","A"
"401",5710,52.3,3,"B","A"
"402",5710,54.4,7,"B","A"
"403",5710,58.9,4,"B","B"
"404",5710,77.2,3,"B","A"
"405",5710,41.8,1,"A","A"
"406",5710,40.7,2,"A","A"
"407",5710,75.7,2,"B","A"
"408",5710,52.3,3,"B","A"
"409",5710,74.7,3,"B","A"
"410",5710,49.2,5,"A","A"
"411",5710,52.9,1,"A","A"
"412",5710,48.7,8,"B","A"
"413",5710,55.1,7,"A","B"
"414",5710,51.4,2,"B","A"
"415",5710,70.5,3,"A","A"
"416",5710,66.2,4,"A","A"
"417",5710,62.2,3,"A","A"
"418",5710,54.6,2,"B","A"
"419",5710,41.4,1,"A","A"
"420",5710,69.6,4,"B","A"
"421",5710,56.7,6,"D","A"
"422",5710,50,8,"B","C"
"423",5710,70.1,1,"A","A"
"424",5710,39.1,4,"E","A"
"425",5710,60.8,4,"C","A"
"426",5710,67.8,4,"B","A"
"427",5710,54.3,7,"A","A"
"428",5710,65,5,"B","B"
"429",5710,66.8,4,"B","A"
"430",5710,46.3,1,"D","A"
"431",5710,45.1,1,"C","A"
"432",5710,73.6,7,"C","A"
"433",5710,73.4,4,"C","B"
"434",5710,26.9,4,"B","A"
"435",5710,69.9,4,"A","A"
"436",5710,55.9,2,"B","A"
"437",5710,42.1,7,"B","A"
"438",5710,46.1,5,"A","A"
"439",5710,48.7,3,"B","A"
"440",5710,69.8,4,"C","B"
"441",5710,54.2,7,"C","A"
"442",5710,65.1,3,"B","A"
"443",5710,51.5,4,"A","A"
"444",5710,49.2,4,"B","A"
"445",5710,45.5,4,"C","A"
"446",5710,53.9,1,"B","A"
"447",5710,70.3,1,"B","A"
"448",5710,53.5,4,"A","A"
"449",5710,59.7,1,"E","C"
"450",5710,44.9,3,"A","A"
"451",5710,56.4,7,"B","A"
"452",5710,71.1,1,"A","A"
"453",5710,50.9,3,"D","A"
"454",5710,58.1,1,"B","A"
"455",5710,59.5,3,"C","A"
"456",5710,62.1,4,"B","A"
"457",5710,70.8,3,"C","A"
"458",5710,70.8,6,"E","A"
"459",5710,72.4,7,"B","A"
"460",5710,66.3,2,"C","A"
"461",5710,77.4,5,"C","A"
"462",5710,56.7,3,"D","A"
"463",5710,61.3,6,"B","A"
"464",5710,69,3,"B","A"
"465",5710,73.6,5,"B","A"
"466",5710,58.9,6,"A","A"
"467",5710,45.7,2,"B","A"
"468",5710,52.4,4,"C","A"
"469",5710,50.6,3,"D","A"
"470",5710,51.6,7,"B","C"
"471",5710,57.7,4,"B","A"
"472",5710,60.5,4,"B","A"
"473",5710,45.4,2,"B","A"
"474",5710,63.7,7,"D","A"
"475",5710,52.1,6,"B","A"
"476",5710,49.7,3,"C","A"
"477",6008,28.9,6,"B","D"
"478",6008,51.6,3,"C","A"
"479",6008,41.3,3,"C","A"
"480",6008,45.2,6,"B","E"
"481",6008,59.9,1,"B","A"
"482",6008,55.4,3,"B","A"
"483",6008,34.8,6,"B","A"
"484",6008,46.8,1,"E","A"
"485",6008,33.8,5,"B","A"
"486",6008,42,4,"C","A"
"487",6008,47.9,2,"A","A"
"488",6008,47.2,5,"A","E"
"489",6008,56.6,4,"B","A"
"490",6008,32,1,"B","B"
"491",6008,55.2,4,"C","A"
"492",6008,45.8,4,"A","A"
"493",6008,31.1,3,"B","A"
"494",6008,44.3,4,"B","A"
"495",6008,57.6,4,"E","A"
"496",6008,55,2,"B","A"
"497",6008,52.1,4,"B","A"
"498",6008,40.2,5,"B","A"
"499",6008,58.5,2,"B","A"
"500",6008,54.2,2,"C","A"
"501",6008,31.4,4,"B","A"
"502",6008,36.9,4,"C","A"
"503",6008,64.6,3,"E","A"
"504",6008,30.7,2,"B","A"
"505",6008,39,8,"B","A"
"506",6008,31.9,6,"A","A"
"507",6008,49.4,3,"C","A"
"508",6008,43.9,6,"A","A"
"509",6008,38.9,1,"D","A"
"510",6008,35,1,"A","E"
"511",6008,43.2,1,"E","A"
"512",6008,30.6,3,"C","A"
"513",6008,51.3,3,"B","E"
"514",6008,49,6,"C","B"
"515",6008,32.8,7,"B","A"
"516",6008,44.6,1,"B","A"
"517",6008,39.4,2,"B","C"
"518",6008,31.8,2,"E","A"
"519",6008,43.8,6,"C","A"
"520",6008,46.9,2,"C","A"
"521",6008,48.7,1,"B","A"
"522",6008,54.8,4,"D","A"
"523",6008,53.1,2,"D","A"
"524",6008,56,6,"B","A"
"525",6008,35.5,6,"A","A"
"526",6008,46,3,"B","A"
"527",6008,27.9,4,"C","A"
"528",6008,34.8,1,"B","A"
"529",6008,49,4,"A","A"
"530",6008,49.1,5,"A","A"
"531",6008,59,7,"B","A"
"532",6008,38.9,4,"D","A"
"533",6008,29,7,"A","A"
"534",6008,47.4,3,"C","A"
"535",6008,31.7,3,"B","A"
"536",6008,37.1,1,"B","A"
"537",6008,33.5,2,"B","A"
"538",6008,43.9,2,"B","A"
"539",6008,60.6,3,"B","A"
"540",6008,36,1,"B","C"
"541",6008,49,3,"A","A"
"542",6008,38.1,5,"E","A"
"543",6008,59.1,6,"A","A"
"544",6008,44,8,"B","A"
"545",5902,44.5,2,"D","A"
"546",5902,46.9,2,"B","A"
"547",5902,48.8,1,"A","A"
"548",5902,40.1,1,"B","A"
"549",5902,42.1,2,"B","A"
"550",5902,50.4,1,"B","A"
"551",5902,64.5,2,"B","E"
"552",5902,57.3,7,"C","A"
"553",5902,32.6,1,"A","A"
"554",5902,56.6,4,"E","A"
"555",5902,60.6,1,"B","A"
"556",5902,64.2,1,"D","A"
"557",5902,59.2,1,"B","B"
"558",5902,34.9,1,"D","A"
"559",5902,43.8,1,"B","A"
"560",5902,39,8,"A","B"
"561",5902,74.7,1,"D","D"
"562",5902,41.4,6,"B","E"
"563",5902,46.9,2,"A","C"
"564",5902,56.4,6,"B","A"
"565",5902,37.8,7,"C","A"
"566",5902,50.5,5,"C","A"
"567",5902,67.6,2,"B","A"
"568",5902,59.1,4,"D","C"
"569",5902,36.3,1,"B","A"
"570",5902,53.9,2,"B","A"
"571",5902,45.9,4,"A","A"
"572",5902,69.1,1,"A","A"
"573",5902,62.8,6,"A","A"
"574",5902,36.5,5,"A","A"
"575",5902,59.9,2,"C","A"
"576",5902,41.9,1,"D","A"
"577",5902,41.4,1,"B","A"
"578",5902,61.7,1,"B","B"
"579",5902,34.9,2,"E","D"
"580",5902,62.3,1,"B","A"
"581",5902,45.9,1,"A","A"
"582",5902,43.8,4,"E","B"
"583",5902,67.7,7,"B","B"
"584",5902,68.1,2,"B","A"
"585",5902,53.6,8,"C","A"
"586",5902,51.1,6,"C","A"
"587",5902,78.1,2,"C","A"
"588",5902,34.7,4,"B","B"
"589",5902,67,1,"C","A"
"590",5902,43.9,3,"D","A"
"591",5902,49.1,3,"B","A"
"592",5902,42.8,2,"A","A"
"593",5902,71.2,1,"D","A"
"594",5902,18.8,1,"C","A"
"595",5902,48.5,5,"B","A"
"596",5902,31.7,3,"B","C"
"597",5902,48.7,8,"C","A"
"598",5902,60.1,2,"C","B"
"599",5902,49.5,3,"B","A"
"600",5902,23.1,2,"B","A"
"601",5902,63.7,1,"C","A"
"602",6306,44.4,5,"A","A"
"603",6306,63.2,4,"E","D"
"604",6306,58.7,6,"D","B"
"605",6306,48.9,8,"C","A"
"606",6306,36.9,6,"B","A"
"607",6306,60.2,1,"A","A"
"608",6306,49.4,5,"B","A"
"609",6306,69.1,4,"C","A"
"610",6306,62.2,3,"C","A"
"611",6306,41.5,3,"B","A"
"612",6306,36.4,4,"A","A"
"613",6306,40.7,6,"B","A"
"614",6306,43.2,6,"B","A"
"615",6306,41.3,5,"E","A"
"616",6306,57.3,7,"A","A"
"617",6306,46,6,"C","A"
"618",6306,41.6,3,"C","A"
"619",6306,42.1,3,"B","A"
"620",6306,38.8,2,"B","A"
"621",6306,43.9,1,"A","A"
"622",6306,30.7,4,"E","A"
"623",6306,38.3,2,"C","A"
"624",6306,52,1,"B","A"
"625",6306,39.8,3,"B","A"
"626",6306,56.9,3,"B","A"
"627",6306,52,6,"C","A"
"628",6306,30.4,3,"C","A"
"629",6306,51.8,2,"B","A"
"630",6306,36.8,5,"B","A"
"631",6306,36.5,3,"A","A"
"632",6306,45.9,4,"B","A"
"633",6306,46.8,4,"B","A"
"634",6306,34.1,4,"E","A"
"635",6306,40.7,4,"B","A"
"636",6306,45.2,3,"B","A"
"637",6306,49.2,2,"B","B"
"638",6306,43.8,3,"B","A"
"639",6306,42,4,"B","A"
"640",6306,36.4,2,"B","A"
"641",6306,31.1,7,"E","A"
"642",6306,45.5,1,"E","A"
"643",6306,35.2,8,"B","A"
"644",6306,46.6,6,"B","A"
"645",6306,46.9,7,"C","A"
"646",6306,44.1,1,"C","A"
"647",6306,41.4,1,"E","A"
"648",6306,32.7,1,"E","A"
"649",6306,34.8,6,"C","A"
"650",6306,48.4,7,"C","A"
"651",6306,54.4,3,"C","A"
"652",6306,36.5,4,"B","A"
"653",6306,38.3,8,"C","A"
"654",6306,44.7,1,"C","A"
"655",6306,47.5,2,"C","A"
"656",4004,57.4,2,"A","A"
"657",4004,35.7,2,"B","D"
"658",4004,29.5,3,"A","C"
"659",4004,44,1,"E","A"
"660",4004,61.4,3,"C","C"
"661",4004,59.9,4,"E","A"
"662",4004,55,1,"C","A"
"663",4004,47.9,1,"A","D"
"664",4004,36.3,1,"C","A"
"665",4004,62.5,1,"C","A"
"666",4004,52.4,6,"B","A"
"667",4004,37.5,3,"C","C"
"668",4004,61.3,6,"A","A"
"669",4004,71,6,"B","E"
"670",4004,49.6,5,"B","C"
"671",4004,39.2,2,"B","A"
"672",4004,68.4,4,"C","D"
"673",4004,43,4,"A","E"
"674",4004,77,4,"B","A"
"675",4004,69,5,"A","A"
"676",4004,80.8,3,"A","A"
"677",4004,37.2,1,"A","A"
"678",4004,60.6,3,"E","E"
"679",4004,49,4,"A","C"
"680",4004,46.3,4,"C","A"
"681",4004,55,1,"A","A"
"682",4004,43.1,6,"C","A"
"683",4004,59.3,7,"C","A"
"684",4004,70.7,6,"E","B"
"685",4004,42.3,5,"C","D"
"686",4004,48.6,7,"C","A"
"687",4004,57.8,7,"A","A"
"688",4004,46.1,3,"B","C"
"689",4004,43.8,5,"C","C"
"690",4004,59.3,7,"C","A"
"691",4004,54.3,5,"B","A"
"692",4004,51.1,8,"A","A"
"693",4004,50.7,6,"C","A"
"694",4004,55.9,4,"B","B"
"695",4004,45.1,3,"C","A"
"696",4004,50.3,6,"C","B"
"697",4004,49.6,4,"D","A"
"698",4004,41.7,3,"B","D"
"699",4004,37.4,3,"E","A"
"700",4004,41.8,5,"E","A"
"701",4004,74.6,6,"E","A"
"702",4004,56.3,3,"A","B"
"703",4004,42.3,5,"A","E"
"704",4004,52.1,5,"C","A"
"705",4004,37.5,7,"A","A"
"706",4004,73.3,6,"A","B"
"707",4004,51.7,8,"C","A"
"708",4004,73.5,6,"E","A"
"709",4004,53.1,5,"D","C"
"710",4004,50.4,1,"A","C"
"711",4004,42.4,2,"B","E"
"712",4004,66.8,8,"A","E"
"713",4004,49.9,2,"E","C"
"714",4004,58,1,"B","D"
"715",4004,58.8,5,"A","E"
"716",4004,79,5,"C","B"
"717",4004,43.8,4,"B","A"
"718",4004,88.6,7,"A","B"
"719",4004,59.1,2,"B","A"
"720",4004,47.4,4,"B","A"
"721",4004,63.1,6,"A","A"
"722",4004,76.8,7,"B","A"
"723",702,51,8,"A","A"
"724",702,39.8,2,"A","C"
"725",702,30.5,4,"B","A"
"726",702,45.5,4,"B","A"
"727",702,33.8,2,"B","A"
