"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
210,"Ciencias Sociais (Licenciatura)",71.3,"4","Mais de oito","Trabalho Eventualmente"
214,"Ciencias Sociais (Licenciatura)",52.4,"4","Mais de oito","Trabalho Eventualmente"
219,"Ciencias Sociais (Licenciatura)",65.7,"3","De tres a cinco","Trabalho de 21 a 31 horas semanais"
225,"Engenharia Eletrica",63.5,"0","Mais de oito","Trabalho Eventualmente"
235,"Engenharia Eletrica",49.3,"4","De seis a oito","Trabalho ate 20 horas semanais"
250,"Engenharia Eletrica",59.5,"0","De seis a oito","Trabalho de 21 a 31 horas semanais"
263,"Engenharia Eletrica",71.4,"1","Um ou Dois","Trabalho de 21 a 31 horas semanais"
270,"Engenharia Eletrica",56.1,"1","Um ou Dois","Trabalho de 21 a 31 horas semanais"
272,"Engenharia Eletrica",52.4,"3","Nenhum","Trabalho de 21 a 31 horas semanais"
279,"Engenharia Eletrica",44.9,"5","De tres a cinco","Trabalho de 21 a 31 horas semanais"
288,"Engenharia Eletrica",34.3,"2","Mais de oito","Trabalho ate 20 horas semanais"
295,"Engenharia Eletrica",43.9,"1","Um ou Dois","Trabalho ate 20 horas semanais"
298,"Engenharia Eletrica",26.9,"6","Nenhum","Trabalho Eventualmente"
309,"Engenharia Eletrica",40.8,"3","Um ou Dois","Trabalho de 21 a 31 horas semanais"
314,"Engenharia Eletrica",50.8,"1","Um ou Dois","Trabalho ate 20 horas semanais"
315,"Engenharia Eletrica",28,"6","Mais de oito","Trabalho Eventualmente"
316,"Engenharia Eletrica",61.3,"5","Mais de oito","Trabalho de 21 a 31 horas semanais"
328,"Engenharia Eletrica",37.5,"3","Nenhum","Trabalho ate 20 horas semanais"
329,"Engenharia Eletrica",61.5,"5","Nenhum","Trabalho ate 20 horas semanais"
339,"Engenharia Eletrica",55.6,"1","Nenhum","Trabalho Eventualmente"
353,"Engenharia Eletrica",47.9,"2","Um ou Dois","Trabalho de 21 a 31 horas semanais"
365,"Engenharia Eletrica",26.2,"3","Um ou Dois","Trabalho Eventualmente"
367,"Engenharia Eletrica",39.9,"4","De tres a cinco","Trabalho ate 20 horas semanais"
372,"Engenharia Eletrica",47.4,"2","Um ou Dois","Trabalho Eventualmente"
385,"Engenharia Eletrica",48.9,"1","Mais de oito","Trabalho ate 20 horas semanais"
392,"Engenharia Civil",77.5,"4","Um ou Dois","Trabalho ate 20 horas semanais"
394,"Engenharia Civil",67.9,"1","Um ou Dois","Trabalho de 21 a 31 horas semanais"
396,"Engenharia Civil",58.1,"5","De tres a cinco","Trabalho ate 20 horas semanais"
403,"Engenharia Civil",58.9,"4","Um ou Dois","Trabalho Eventualmente"
413,"Engenharia Civil",55.1,"0","Nenhum","Trabalho Eventualmente"
422,"Engenharia Civil",50,"0","Um ou Dois","Trabalho ate 20 horas semanais"
428,"Engenharia Civil",65,"5","Um ou Dois","Trabalho Eventualmente"
433,"Engenharia Civil",73.4,"4","De tres a cinco","Trabalho Eventualmente"
440,"Engenharia Civil",69.8,"4","De tres a cinco","Trabalho Eventualmente"
449,"Engenharia Civil",59.7,"1","Mais de oito","Trabalho ate 20 horas semanais"
470,"Engenharia Civil",51.6,"0","Um ou Dois","Trabalho ate 20 horas semanais"
477,"Engenharia Quimica",28.9,"6","Um ou Dois","Trabalho de 21 a 31 horas semanais"
480,"Engenharia Quimica",45.2,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
488,"Engenharia Quimica",47.2,"5","Nenhum","Trabalho 40 horas semanais ou mais"
490,"Engenharia Quimica",32,"1","Um ou Dois","Trabalho Eventualmente"
510,"Engenharia Quimica",35,"1","Nenhum","Trabalho 40 horas semanais ou mais"
513,"Engenharia Quimica",51.3,"3","Um ou Dois","Trabalho 40 horas semanais ou mais"
514,"Engenharia Quimica",49,"6","De tres a cinco","Trabalho Eventualmente"
517,"Engenharia Quimica",39.4,"2","Um ou Dois","Trabalho ate 20 horas semanais"
540,"Engenharia Quimica",36,"1","Um ou Dois","Trabalho ate 20 horas semanais"
551,"Engenharia Mecanica",64.5,"2","Um ou Dois","Trabalho 40 horas semanais ou mais"
557,"Engenharia Mecanica",59.2,"1","Um ou Dois","Trabalho Eventualmente"
560,"Engenharia Mecanica",39,"0","Nenhum","Trabalho Eventualmente"
561,"Engenharia Mecanica",74.7,"1","De seis a oito","Trabalho de 21 a 31 horas semanais"
562,"Engenharia Mecanica",41.4,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
563,"Engenharia Mecanica",46.9,"2","Nenhum","Trabalho ate 20 horas semanais"
568,"Engenharia Mecanica",59.1,"4","De seis a oito","Trabalho ate 20 horas semanais"
578,"Engenharia Mecanica",61.7,"1","Um ou Dois","Trabalho Eventualmente"
579,"Engenharia Mecanica",34.9,"2","Mais de oito","Trabalho de 21 a 31 horas semanais"
582,"Engenharia Mecanica",43.8,"4","Mais de oito","Trabalho Eventualmente"
583,"Engenharia Mecanica",67.7,"0","Um ou Dois","Trabalho Eventualmente"
588,"Engenharia Mecanica",34.7,"4","Um ou Dois","Trabalho Eventualmente"
596,"Engenharia Mecanica",31.7,"3","Um ou Dois","Trabalho ate 20 horas semanais"
598,"Engenharia Mecanica",60.1,"2","De tres a cinco","Trabalho Eventualmente"
603,"Engenharia",63.2,"4","Mais de oito","Trabalho de 21 a 31 horas semanais"
604,"Engenharia",58.7,"6","De seis a oito","Trabalho Eventualmente"
